Activity,Type,Start,Finish,Details,,,
Feeding,Bottle,"2025-07-16, 01:35","2025-07-16, 01:50","130ml, formula",,,130
Feeding,Bottle,"2025-07-15, 19:15","2025-07-15, 19:30","190ml, formula",,,190
Feeding,Bottle,"2025-07-15, 16:30","2025-07-15, 16:45","110ml, formula",,,110
Feeding,Bottle,"2025-07-15, 13:25","2025-07-15, 13:45","160ml, formula",,,160
Feeding,Bottle,"2025-07-15, 10:15","2025-07-15, 10:30","110ml, formula",,,110
Feeding,Bottle,"2025-07-15, 07:05","2025-07-15, 07:20","150ml, formula",,,150
Feeding,Bottle,"2025-07-15, 03:00","2025-07-15, 03:10","95ml, formula",,,95
Feeding,Bottle,"2025-07-14, 19:00","2025-07-14, 19:15","190ml, formula",,,190
Feeding,Bottle,"2025-07-14, 16:00","2025-07-14, 17:30","70ml, formula",,,70
Feeding,Bottle,"2025-07-14, 13:15","2025-07-14, 13:30","200ml, formula",,,200
Feeding,Bottle,"2025-07-14, 10:25","2025-07-14, 10:45","100ml, formula",,,100
Feeding,Bottle,"2025-07-14, 07:15","2025-07-14, 07:30","110ml, formula",,,110
Feeding,Bottle,"2025-07-14, 00:35","2025-07-14, 00:45","85ml, formula",,,85
Feeding,Bottle,"2025-07-13, 19:15","2025-07-13, 19:45","200ml, formula",,,200
Feeding,Bottle,"2025-07-13, 17:00","2025-07-13, 17:30","90ml, formula",,,90
Feeding,Bottle,"2025-07-13, 14:00","2025-07-13, 14:30","90ml, formula",,,90
Feeding,Bottle,"2025-07-13, 10:45","2025-07-13, 11:45","120ml, formula",,,120
Feeding,Bottle,"2025-07-13, 07:20","2025-07-13, 07:30","70ml, formula",,,70
Feeding,Bottle,"2025-07-13, 04:15","2025-07-13, 04:20","70ml, formula",,,70
Feeding,Bottle,"2025-07-12, 19:15","2025-07-12, 19:30","160ml, formula",,,160
Feeding,Bottle,"2025-07-12, 17:00","2025-07-12, 17:10","50ml, formula",,,50
Feeding,Bottle,"2025-07-12, 14:00","2025-07-12, 14:30","80ml, formula",,,80
Feeding,Bottle,"2025-07-12, 10:20","2025-07-12, 12:20","60ml, formula",,,60
Feeding,Bottle,"2025-07-12, 06:30","2025-07-12, 07:30","100ml, formula",,,100
Feeding,Bottle,"2025-07-12, 03:35","2025-07-12, 03:50","120ml, formula",,,120
Feeding,Bottle,"2025-07-12, 01:25","2025-07-12, 01:30","30ml, formula",,,30
Feeding,Bottle,"2025-07-11, 23:40","2025-07-11, 23:45","40ml, formula",,,40
Feeding,Bottle,"2025-07-11, 19:00","2025-07-11, 19:15","180ml, formula",,,180
Feeding,Bottle,"2025-07-11, 17:15","2025-07-11, 17:30","30ml, formula",,,30
Feeding,Bottle,"2025-07-11, 14:25","2025-07-11, 14:45","100ml, formula",,,100
Feeding,Bottle,"2025-07-11, 11:20","2025-07-11, 11:35","80ml, formula",,,80
Feeding,Bottle,"2025-07-11, 08:30","2025-07-11, 09:00","30ml, formula",,,30
Feeding,Bottle,"2025-07-11, 04:35","2025-07-11, 04:45","150ml, formula",,,150
Feeding,Bottle,"2025-07-11, 01:45","2025-07-11, 01:50","40ml, formula",,,40
Feeding,Bottle,"2025-07-10, 23:15","2025-07-10, 23:20","60ml, formula",,,60
Feeding,Bottle,"2025-07-10, 19:00","2025-07-10, 19:30","150ml, formula",,,150
Feeding,Bottle,"2025-07-10, 16:15","2025-07-10, 16:45","80ml, formula",,,80
Feeding,Bottle,"2025-07-10, 13:15","2025-07-10, 13:45","100ml, formula",,,100
Feeding,Bottle,"2025-07-10, 09:30","2025-07-10, 09:45","150ml, formula",,,150
Feeding,Bottle,"2025-07-10, 05:55","2025-07-10, 06:10","60ml, formula",,,60
Feeding,Bottle,"2025-07-10, 02:50","2025-07-10, 03:00","115ml, formula",,,115
Feeding,Bottle,"2025-07-09, 18:10","2025-07-09, 19:10","195ml, formula",,,195
Feeding,Bottle,"2025-07-09, 14:30","2025-07-09, 15:00","80ml, formula",,,80
Feeding,Bottle,"2025-07-09, 11:30","2025-07-09, 12:00","130ml, formula",,,130
Feeding,Bottle,"2025-07-09, 07:40","2025-07-09, 08:00","60ml, formula",,,60
Feeding,Bottle,"2025-07-09, 04:35","2025-07-09, 04:45","80ml, formula",,,80
Feeding,Bottle,"2025-07-09, 01:00","2025-07-09, 01:10","60ml, formula",,,60
Feeding,Bottle,"2025-07-08, 19:20","2025-07-08, 19:35","170ml, formula",,,170
Feeding,Bottle,"2025-07-08, 16:45","2025-07-08, 17:00","35ml, formula",,,35
Feeding,Bottle,"2025-07-08, 13:45","2025-07-08, 14:00","120ml, formula",,,120
Feeding,Bottle,"2025-07-08, 10:05","2025-07-08, 10:25","110ml, formula",,,110
Feeding,Bottle,"2025-07-08, 06:30","2025-07-08, 07:00","150ml, formula",,,150
Feeding,Bottle,"2025-07-08, 03:20","2025-07-08, 03:30","120ml, formula",,,120
Feeding,Bottle,"2025-07-07, 19:10","2025-07-07, 19:30","190ml, formula",,,190
Feeding,Bottle,"2025-07-07, 16:30","2025-07-07, 16:50","110ml, formula",,,110
Feeding,Bottle,"2025-07-07, 13:30","2025-07-07, 14:00","130ml, formula",,,130
Feeding,Bottle,"2025-07-07, 10:30","2025-07-07, 10:45","110ml, formula",,,110
Feeding,Bottle,"2025-07-07, 07:25","2025-07-07, 07:35","140ml, formula",,,140
Feeding,Bottle,"2025-07-07, 04:20","2025-07-07, 04:30","130ml, formula",,,130
Feeding,Bottle,"2025-07-06, 19:10","2025-07-06, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-07-06, 15:15","2025-07-06, 15:45","100ml, formula",,,100
Feeding,Bottle,"2025-07-06, 11:45","2025-07-06, 12:00","155ml, formula",,,155
Feeding,Bottle,"2025-07-06, 08:30","2025-07-06, 08:45","155ml, formula",,,155
Feeding,Bottle,"2025-07-06, 05:10","2025-07-06, 05:20","120ml, formula",,,120
Feeding,Bottle,"2025-07-06, 01:30","2025-07-06, 01:40","110ml, formula",,,110
Feeding,Bottle,"2025-07-05, 19:20","2025-07-05, 19:30","140ml, formula",,,140
Feeding,Bottle,"2025-07-05, 17:00","2025-07-05, 17:30","70ml, formula",,,70
Feeding,Bottle,"2025-07-05, 14:30","2025-07-05, 14:55","100ml, formula",,,100
Feeding,Bottle,"2025-07-05, 11:45","2025-07-05, 12:15","100ml, formula",,,100
Feeding,Bottle,"2025-07-05, 08:30","2025-07-05, 10:00","95ml, formula",,,95
Feeding,Bottle,"2025-07-05, 05:20","2025-07-05, 05:40","135ml, formula",,,135
Feeding,Bottle,"2025-07-05, 00:50","2025-07-05, 01:00","145ml, formula",,,145
Feeding,Bottle,"2025-07-04, 19:10","2025-07-04, 19:30","140ml, formula",,,140
Feeding,Bottle,"2025-07-04, 16:40","2025-07-04, 17:00","100ml, formula",,,100
Feeding,Bottle,"2025-07-04, 13:40","2025-07-04, 14:10","130ml, formula",,,130
Feeding,Bottle,"2025-07-04, 10:30","2025-07-04, 10:45","110ml, formula",,,110
Feeding,Bottle,"2025-07-04, 07:25","2025-07-04, 07:50","125ml, formula",,,125
Feeding,Bottle,"2025-07-04, 03:45","2025-07-04, 03:50","125ml, formula",,,125
Feeding,Bottle,"2025-07-03, 22:55","2025-07-03, 23:10","90ml, formula",,,90
Feeding,Bottle,"2025-07-03, 19:05","2025-07-03, 19:30","195ml, formula",,,195
Feeding,Bottle,"2025-07-03, 16:25","2025-07-03, 17:01","110ml, formula",,,110
Feeding,Bottle,"2025-07-03, 12:30","2025-07-03, 13:15","200ml, formula",,,200
Feeding,Bottle,"2025-07-03, 08:30","2025-07-03, 10:15","100ml, formula",,,100
Feeding,Bottle,"2025-07-03, 05:05","2025-07-03, 05:20","145ml, formula",,,145
Feeding,Bottle,"2025-07-02, 22:00","2025-07-02, 22:05","50ml, formula",,,50
Feeding,Bottle,"2025-07-02, 19:00","2025-07-02, 19:30","160ml, formula",,,160
Feeding,Bottle,"2025-07-02, 16:25","2025-07-02, 16:55","100ml, formula",,,100
Feeding,Bottle,"2025-07-02, 13:15","2025-07-02, 13:40","130ml, formula",,,130
Feeding,Bottle,"2025-07-02, 10:30","2025-07-02, 11:30","80ml, formula",,,80
Feeding,Bottle,"2025-07-02, 07:00","2025-07-02, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-07-02, 00:50","2025-07-02, 00:55","70ml, formula",,,70
Feeding,Bottle,"2025-07-01, 19:20","2025-07-01, 19:40","145ml, formula",,,145
Feeding,Bottle,"2025-07-01, 16:10","2025-07-01, 16:50","130ml, formula",,,130
Feeding,Bottle,"2025-07-01, 13:15","2025-07-01, 13:45","120ml, formula",,,120
Feeding,Bottle,"2025-07-01, 09:45","2025-07-01, 10:30","120ml, formula",,,120
Feeding,Bottle,"2025-07-01, 06:35","2025-07-01, 06:45","80ml, formula",,,80
Feeding,Bottle,"2025-07-01, 00:05","2025-07-01, 00:10","65ml, formula",,,65
Feeding,Bottle,"2025-06-30, 19:30","2025-06-30, 19:50","140ml, formula",,,140
Feeding,Bottle,"2025-06-30, 17:20","2025-06-30, 17:40","100ml, formula",,,100
Feeding,Bottle,"2025-06-30, 13:10","2025-06-30, 13:50","120ml, formula",,,120
Feeding,Bottle,"2025-06-30, 10:10","2025-06-30, 11:00","80ml, formula",,,80
Feeding,Bottle,"2025-06-30, 06:30","2025-06-30, 07:30","110ml, formula",,,110
Feeding,Bottle,"2025-06-30, 00:25","2025-06-30, 00:40","80ml, formula",,,80
Feeding,Bottle,"2025-06-29, 19:30","2025-06-29, 20:00","180ml, formula",,,180
Feeding,Bottle,"2025-06-29, 17:00","2025-06-29, 17:45","90ml, formula",,,90
Feeding,Bottle,"2025-06-29, 14:00","2025-06-29, 14:20","90ml, formula",,,90
Feeding,Bottle,"2025-06-29, 11:30","2025-06-29, 12:00","130ml, formula",,,130
Feeding,Bottle,"2025-06-29, 07:45","2025-06-29, 08:00","150ml, formula",,,150
Feeding,Bottle,"2025-06-29, 02:35","2025-06-29, 02:45","160ml, formula",,,160
Feeding,Bottle,"2025-06-28, 19:35","2025-06-28, 20:00","170ml, formula",,,170
Feeding,Bottle,"2025-06-28, 17:00","2025-06-28, 17:15","110ml, formula",,,110
Feeding,Bottle,"2025-06-28, 13:45","2025-06-28, 14:45","100ml, formula",,,100
Feeding,Bottle,"2025-06-28, 10:20","2025-06-28, 10:40","130ml, formula",,,130
Feeding,Bottle,"2025-06-28, 07:20","2025-06-28, 07:40","145ml, formula",,,145
Feeding,Bottle,"2025-06-28, 00:50","2025-06-28, 01:05","80ml, formula",,,80
Feeding,Bottle,"2025-06-27, 19:45","2025-06-27, 20:00","225ml, formula",,,225
Feeding,Bottle,"2025-06-27, 16:50","2025-06-27, 17:10","110ml, formula",,,110
Feeding,Bottle,"2025-06-27, 13:55","2025-06-27, 14:10","130ml, formula",,,130
Feeding,Bottle,"2025-06-27, 10:55","2025-06-27, 11:50","90ml, formula",,,90
Feeding,Bottle,"2025-06-27, 06:55","2025-06-27, 07:15","160ml, formula",,,160
Feeding,Bottle,"2025-06-27, 01:20","2025-06-27, 01:25","85ml, formula",,,85
Feeding,Bottle,"2025-06-26, 19:30","2025-06-26, 20:00","220ml, formula",,,220
Feeding,Bottle,"2025-06-26, 17:15","2025-06-26, 17:30","40ml, formula",,,40
Feeding,Bottle,"2025-06-26, 14:20","2025-06-26, 15:00","200ml, formula",,,200
Feeding,Bottle,"2025-06-26, 10:25","2025-06-26, 11:00","90ml, formula",,,90
Feeding,Bottle,"2025-06-26, 07:25","2025-06-26, 07:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-26, 02:50","2025-06-26, 03:05","120ml, formula",,,120
Feeding,Bottle,"2025-06-25, 19:40","2025-06-25, 20:00","140ml, formula",,,140
Feeding,Bottle,"2025-06-25, 16:35","2025-06-25, 17:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-25, 12:50","2025-06-25, 13:05","110ml, formula",,,110
Feeding,Bottle,"2025-06-25, 09:40","2025-06-25, 10:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-25, 06:40","2025-06-25, 07:00","120ml, formula",,,120
Feeding,Bottle,"2025-06-25, 00:30","2025-06-25, 00:40","110ml, formula",,,110
Feeding,Bottle,"2025-06-24, 19:40","2025-06-24, 20:00","180ml, formula",,,180
Feeding,Bottle,"2025-06-24, 16:50","2025-06-24, 17:10","145ml, formula",,,145
Feeding,Bottle,"2025-06-24, 13:40","2025-06-24, 14:00","145ml, formula",,,145
Feeding,Bottle,"2025-06-24, 10:50","2025-06-24, 11:23","100ml, formula",,,100
Feeding,Bottle,"2025-06-24, 07:45","2025-06-24, 08:10","110ml, formula",,,110
Feeding,Bottle,"2025-06-24, 04:40","2025-06-24, 04:50","150ml, formula",,,150
Feeding,Bottle,"2025-06-23, 22:50","2025-06-23, 23:05","110ml, formula",,,110
Feeding,Bottle,"2025-06-23, 19:40","2025-06-23, 20:00","90ml, formula",,,90
Feeding,Bottle,"2025-06-23, 17:10","2025-06-23, 17:30","130ml, formula",,,130
Feeding,Bottle,"2025-06-23, 14:15","2025-06-23, 14:30","150ml, formula",,,150
Feeding,Bottle,"2025-06-23, 11:15","2025-06-23, 12:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-23, 07:25","2025-06-23, 07:40","130ml, formula",,,130
Feeding,Bottle,"2025-06-22, 23:30","2025-06-22, 23:35","70ml, formula",,,70
Feeding,Bottle,"2025-06-22, 19:35","2025-06-22, 20:00","180ml, formula",,,180
Feeding,Bottle,"2025-06-22, 16:25","2025-06-22, 17:00","150ml, formula",,,150
Feeding,Bottle,"2025-06-22, 13:20","2025-06-22, 14:26","160ml, formula",,,160
Feeding,Bottle,"2025-06-22, 10:30","2025-06-22, 10:40","95ml, formula",,,95
Feeding,Bottle,"2025-06-22, 07:25","2025-06-22, 07:40","120ml, formula",,,120
Feeding,Bottle,"2025-06-22, 01:25","2025-06-22, 01:55","130ml, formula",,,130
Feeding,Bottle,"2025-06-21, 19:45","2025-06-21, 20:15","180ml, formula",,,180
Feeding,Bottle,"2025-06-21, 17:05","2025-06-21, 17:25","130ml, formula",,,130
Feeding,Bottle,"2025-06-21, 14:05","2025-06-21, 14:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-21, 10:25","2025-06-21, 12:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-21, 07:30","2025-06-21, 07:50","150ml, formula",,,150
Feeding,Bottle,"2025-06-21, 02:05","2025-06-21, 02:15","120ml, formula",,,120
Feeding,Bottle,"2025-06-20, 19:30","2025-06-20, 20:00","160ml, formula",,,160
Feeding,Bottle,"2025-06-20, 17:15","2025-06-20, 17:35","140ml, formula",,,140
Feeding,Bottle,"2025-06-20, 14:10","2025-06-20, 14:45","150ml, formula",,,150
Feeding,Bottle,"2025-06-20, 09:55","2025-06-20, 10:25","140ml, formula",,,140
Feeding,Bottle,"2025-06-20, 06:55","2025-06-20, 07:25","140ml, formula",,,140
Feeding,Bottle,"2025-06-19, 19:10","2025-06-19, 19:30","200ml, formula",,,200
Feeding,Bottle,"2025-06-19, 16:05","2025-06-19, 16:55","150ml, formula",,,150
Feeding,Bottle,"2025-06-19, 12:35","2025-06-19, 13:25","130ml, formula",,,130
Feeding,Bottle,"2025-06-19, 09:00","2025-06-19, 09:40","160ml, formula",,,160
Feeding,Bottle,"2025-06-19, 05:50","2025-06-19, 06:00","130ml, formula",,,130
Feeding,Bottle,"2025-06-18, 19:35","2025-06-18, 19:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-18, 16:15","2025-06-18, 16:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-18, 12:55","2025-06-18, 13:25","130ml, formula",,,130
Feeding,Bottle,"2025-06-18, 09:15","2025-06-18, 09:25","110ml, formula",,,110
Feeding,Bottle,"2025-06-18, 05:20","2025-06-18, 05:40","110ml, formula",,,110
Feeding,Bottle,"2025-06-18, 00:20","2025-06-18, 00:30","110ml, formula",,,110
Feeding,Bottle,"2025-06-17, 19:20","2025-06-17, 19:35","180ml, formula",,,180
Feeding,Bottle,"2025-06-17, 16:30","2025-06-17, 16:52","125ml, formula",,,125
Feeding,Bottle,"2025-06-17, 13:15","2025-06-17, 13:45","140ml, formula",,,140
Feeding,Bottle,"2025-06-17, 09:35","2025-06-17, 10:45","120ml, formula",,,120
Feeding,Bottle,"2025-06-17, 06:30","2025-06-17, 06:40","90ml, formula",,,90
Feeding,Bottle,"2025-06-17, 01:05","2025-06-17, 01:15","100ml, formula",,,100
Feeding,Bottle,"2025-06-16, 19:05","2025-06-16, 19:30","230ml, formula",,,230
Feeding,Bottle,"2025-06-16, 16:15","2025-06-16, 16:45","120ml, formula",,,120
Feeding,Bottle,"2025-06-16, 12:45","2025-06-16, 13:00","150ml, formula",,,150
Feeding,Bottle,"2025-06-16, 09:00","2025-06-16, 10:15","145ml, formula",,,145
Feeding,Bottle,"2025-06-16, 05:35","2025-06-16, 05:45","80ml, formula",,,80
Feeding,Bottle,"2025-06-15, 23:35","2025-06-15, 23:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-15, 18:55","2025-06-15, 19:15","160ml, formula",,,160
Feeding,Bottle,"2025-06-15, 15:45","2025-06-15, 16:00","155ml, formula",,,155
Feeding,Bottle,"2025-06-15, 12:30","2025-06-15, 13:15","110ml, formula",,,110
Feeding,Bottle,"2025-06-15, 09:10","2025-06-15, 09:30","90ml, formula",,,90
Feeding,Bottle,"2025-06-15, 06:10","2025-06-15, 06:20","130ml, formula",,,130
Feeding,Bottle,"2025-06-15, 00:30","2025-06-15, 00:40","90ml, formula",,,90
Feeding,Bottle,"2025-06-14, 19:45","2025-06-14, 20:00","130ml, formula",,,130
Feeding,Bottle,"2025-06-14, 16:45","2025-06-14, 17:05","140ml, formula",,,140
Feeding,Bottle,"2025-06-14, 13:30","2025-06-14, 14:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-14, 10:30","2025-06-14, 11:00","100ml, formula",,,100
Feeding,Bottle,"2025-06-14, 06:50","2025-06-14, 07:15","140ml, formula",,,140
Feeding,Bottle,"2025-06-14, 01:40","2025-06-14, 01:45","120ml, formula",,,120
Feeding,Bottle,"2025-06-13, 18:55","2025-06-13, 19:05","120ml, formula",,,120
Feeding,Bottle,"2025-06-13, 16:00","2025-06-13, 16:15","130ml, formula",,,130
Feeding,Bottle,"2025-06-13, 12:30","2025-06-13, 14:30","100ml, formula",,,100
Feeding,Bottle,"2025-06-13, 09:25","2025-06-13, 09:35","150ml, formula",,,150
Feeding,Bottle,"2025-06-13, 06:10","2025-06-13, 06:15","110ml, formula",,,110
Feeding,Bottle,"2025-06-13, 01:45","2025-06-13, 02:00","160ml, formula",,,160
Feeding,Bottle,"2025-06-12, 19:35","2025-06-12, 19:50","155ml, formula",,,155
Feeding,Bottle,"2025-06-12, 16:15","2025-06-12, 16:30","105ml, formula",,,105
Feeding,Bottle,"2025-06-12, 13:00","2025-06-12, 13:50","120ml, formula",,,120
Feeding,Bottle,"2025-06-12, 09:10","2025-06-12, 09:35","160ml, formula",,,160
Feeding,Bottle,"2025-06-12, 06:00","2025-06-12, 06:15","145ml, formula",,,145
Feeding,Bottle,"2025-06-12, 01:00","2025-06-12, 01:25","130ml, formula",,,130
Feeding,Bottle,"2025-06-11, 17:50","2025-06-11, 18:50","160ml, formula",,,160
Feeding,Bottle,"2025-06-11, 14:30","2025-06-11, 15:00","160ml, formula",,,160
Feeding,Bottle,"2025-06-11, 11:30","2025-06-11, 11:45","110ml, formula",,,110
Feeding,Bottle,"2025-06-11, 08:30","2025-06-11, 08:50","130ml, formula",,,130
Feeding,Bottle,"2025-06-11, 05:40","2025-06-11, 05:50","130ml, formula",,,130
Feeding,Bottle,"2025-06-11, 02:30","2025-06-11, 02:40","60ml, formula",,,60
Feeding,Bottle,"2025-06-10, 22:05","2025-06-10, 22:10","100ml, formula",,,100
Feeding,Bottle,"2025-06-10, 19:40","2025-06-10, 19:55","90ml, formula",,,90
Feeding,Bottle,"2025-06-10, 16:50","2025-06-10, 17:00","130ml, formula",,,130
Feeding,Bottle,"2025-06-10, 13:50","2025-06-10, 14:20","110ml, formula",,,110
Feeding,Bottle,"2025-06-10, 10:10","2025-06-10, 10:50","110ml, formula",,,110
Feeding,Bottle,"2025-06-10, 07:00","2025-06-10, 07:55","155ml, formula",,,155
Feeding,Bottle,"2025-06-10, 03:35","2025-06-10, 03:45","130ml, formula",,,130
Feeding,Bottle,"2025-06-09, 18:45","2025-06-09, 19:00","100ml, formula",,,100
Feeding,Bottle,"2025-06-09, 15:45","2025-06-09, 16:00","155ml, formula",,,155
Feeding,Bottle,"2025-06-09, 12:45","2025-06-09, 13:15","90ml, formula",,,90
Feeding,Bottle,"2025-06-09, 08:30","2025-06-09, 08:50","80ml, formula",,,80
Feeding,Bottle,"2025-06-09, 04:35","2025-06-09, 04:45","100ml, formula",,,100
Feeding,Bottle,"2025-06-08, 22:30","2025-06-08, 22:45","105ml, formula",,,105
Feeding,Bottle,"2025-06-08, 18:55","2025-06-08, 19:05","90ml, formula",,,90
Feeding,Bottle,"2025-06-08, 15:45","2025-06-08, 16:20","140ml, formula",,,140
Feeding,Bottle,"2025-06-08, 12:10","2025-06-08, 13:10","155ml, formula",,,155
Feeding,Bottle,"2025-06-08, 08:40","2025-06-08, 08:50","130ml, formula",,,130
Feeding,Bottle,"2025-06-08, 04:50","2025-06-08, 05:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-07, 19:10","2025-06-07, 19:50","120ml, formula",,,120
Feeding,Bottle,"2025-06-07, 16:00","2025-06-07, 16:40","120ml, formula",,,120
Feeding,Bottle,"2025-06-07, 12:35","2025-06-07, 13:30","130ml, formula",,,130
Feeding,Bottle,"2025-06-07, 09:20","2025-06-07, 10:00","125ml, formula",,,125
Feeding,Bottle,"2025-06-07, 06:10","2025-06-07, 06:30","140ml, formula",,,140
Feeding,Bottle,"2025-06-07, 02:15","2025-06-07, 02:25","120ml, formula",,,120
Feeding,Bottle,"2025-06-06, 19:55","2025-06-06, 20:10","160ml, formula",,,160
Feeding,Bottle,"2025-06-06, 17:15","2025-06-06, 17:25","150ml, formula",,,150
Feeding,Bottle,"2025-06-06, 14:20","2025-06-06, 14:45","110ml, formula",,,110
Feeding,Bottle,"2025-06-06, 11:00","2025-06-06, 12:00","110ml, formula",,,110
Feeding,Bottle,"2025-06-06, 06:30","2025-06-06, 06:45","100ml, formula",,,100
Feeding,Bottle,"2025-06-06, 03:10","2025-06-06, 03:20","160ml, formula",,,160
Feeding,Bottle,"2025-06-05, 19:50","2025-06-05, 20:10","140ml, formula",,,140
Feeding,Bottle,"2025-06-05, 17:10","2025-06-05, 17:40","130ml, formula",,,130
Feeding,Bottle,"2025-06-05, 13:00","2025-06-05, 13:30","120ml, formula",,,120
Feeding,Bottle,"2025-06-05, 10:00","2025-06-05, 10:35","110ml, formula",,,110
Feeding,Bottle,"2025-06-05, 06:45","2025-06-05, 07:00","145ml, formula",,,145
Feeding,Bottle,"2025-06-05, 02:15","2025-06-05, 02:25","140ml, formula",,,140
Feeding,Bottle,"2025-06-04, 18:45","2025-06-04, 19:05","145ml, formula",,,145
Feeding,Bottle,"2025-06-04, 15:40","2025-06-04, 16:10","130ml, formula",,,130
Feeding,Bottle,"2025-06-04, 12:30","2025-06-04, 13:00","100ml, formula",,,100
Feeding,Bottle,"2025-06-04, 08:45","2025-06-04, 09:00","100ml, formula",,,100
Feeding,Bottle,"2025-06-04, 05:15","2025-06-04, 05:30","135ml, formula",,,135
Feeding,Bottle,"2025-06-03, 23:55","2025-06-04, 00:00","120ml, formula",,,120
Feeding,Bottle,"2025-06-03, 18:50","2025-06-03, 19:05","140ml, formula",,,140
Feeding,Bottle,"2025-06-03, 16:00","2025-06-03, 16:30","100ml, formula",,,100
Feeding,Bottle,"2025-06-03, 13:00","2025-06-03, 13:25","100ml, formula",,,100
Feeding,Bottle,"2025-06-03, 09:00","2025-06-03, 10:15","120ml, formula",,,120
Feeding,Bottle,"2025-06-03, 05:20","2025-06-03, 05:40","160ml, formula",,,160
Feeding,Bottle,"2025-06-03, 01:15","2025-06-03, 01:25","160ml, formula",,,160
Feeding,Bottle,"2025-06-02, 18:45","2025-06-02, 19:00","100ml, formula",,,100
Feeding,Bottle,"2025-06-02, 15:50","2025-06-02, 16:05","120ml, formula",,,120
Feeding,Bottle,"2025-06-02, 12:45","2025-06-02, 13:15","120ml, formula",,,120
Feeding,Bottle,"2025-06-02, 09:25","2025-06-02, 09:45","90ml, formula",,,90
Feeding,Bottle,"2025-06-02, 06:15","2025-06-02, 06:30","130ml, formula",,,130
Feeding,Bottle,"2025-06-02, 00:35","2025-06-02, 00:44","120ml, formula",,,120
Feeding,Bottle,"2025-06-01, 19:55","2025-06-01, 20:10","110ml, formula",,,110
Feeding,Bottle,"2025-06-01, 16:40","2025-06-01, 17:00","130ml, formula",,,130
Feeding,Bottle,"2025-06-01, 13:10","2025-06-01, 13:30","130ml, formula",,,130
Feeding,Bottle,"2025-06-01, 10:10","2025-06-01, 10:30","110ml, formula",,,110
Feeding,Bottle,"2025-06-01, 06:40","2025-06-01, 07:00","150ml, formula",,,150
Feeding,Bottle,"2025-06-01, 00:30","2025-06-01, 00:40","100ml, formula",,,100
Feeding,Bottle,"2025-05-31, 18:30","2025-05-31, 18:40","150ml, formula",,,150
Feeding,Bottle,"2025-05-31, 15:25","2025-05-31, 15:35","110ml, formula",,,110
Feeding,Bottle,"2025-05-31, 12:30","2025-05-31, 12:45","130ml, formula",,,130
Feeding,Bottle,"2025-05-31, 09:30","2025-05-31, 09:40","90ml, formula",,,90
Feeding,Bottle,"2025-05-31, 06:00","2025-05-31, 06:15","110ml, formula",,,110
Feeding,Bottle,"2025-05-31, 01:05","2025-05-31, 01:10","100ml, formula",,,100
Feeding,Bottle,"2025-05-30, 19:30","2025-05-30, 19:45","120ml, formula",,,120
Feeding,Bottle,"2025-05-30, 16:45","2025-05-30, 16:55","120ml, formula",,,120
Feeding,Bottle,"2025-05-30, 13:25","2025-05-30, 13:35","120ml, formula",,,120
Feeding,Bottle,"2025-05-30, 10:40","2025-05-30, 10:50","100ml, formula",,,100
Feeding,Bottle,"2025-05-30, 07:30","2025-05-30, 07:45","150ml, formula",,,150
Feeding,Bottle,"2025-05-30, 02:50","2025-05-30, 03:00","100ml, formula",,,100
Feeding,Bottle,"2025-05-29, 22:50","2025-05-29, 23:00","90ml, formula",,,90
Feeding,Bottle,"2025-05-29, 19:40","2025-05-29, 19:50","160ml, formula",,,160
Feeding,Bottle,"2025-05-29, 16:45","2025-05-29, 17:00","100ml, formula",,,100
Feeding,Bottle,"2025-05-29, 13:15","2025-05-29, 13:35","150ml, formula",,,150
Feeding,Bottle,"2025-05-29, 09:15","2025-05-29, 10:15","95ml, formula",,,95
Feeding,Bottle,"2025-05-29, 06:05","2025-05-29, 06:25","100ml, formula",,,100
Feeding,Bottle,"2025-05-28, 22:45","2025-05-28, 23:24","70ml, formula",,,70
Feeding,Bottle,"2025-05-28, 19:00","2025-05-28, 19:30","150ml, formula",,,150
Feeding,Bottle,"2025-05-28, 15:20","2025-05-28, 15:35","135ml, formula",,,135
Feeding,Bottle,"2025-05-28, 11:10","2025-05-28, 11:45","135ml, formula",,,135
Feeding,Bottle,"2025-05-28, 07:55","2025-05-28, 09:00","75ml, formula",,,75
Feeding,Bottle,"2025-05-28, 03:50","2025-05-28, 04:00","120ml, formula",,,120
Feeding,Bottle,"2025-05-27, 23:15","2025-05-27, 23:30","90ml, formula",,,90
Feeding,Bottle,"2025-05-27, 19:15","2025-05-27, 19:30","130ml, formula",,,130
Feeding,Bottle,"2025-05-27, 16:15","2025-05-27, 17:00","70ml, formula",,,70
